true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename
226045,2616,99,33384,0.9247901603922546,0.9609256940546609,14.866068840026855,7.6157732009887695,ISIC_0000069.png
214502,26,4698,42918,0.9008437932916334,0.9478356890459364,19.0,12.83529281616211,ISIC_0009881.png
219015,8142,201,34786,0.8065570729671451,0.8929217737277803,39.20458984375,25.0,ISIC_0000306.png
130849,0,16895,114400,0.8713203092273125,0.9312358818860783,26.4007568359375,20.615528106689453,ISIC_0000066.png
226600,106,4584,30854,0.8680508665316228,0.9293653423295882,18.027755737304688,15.0,ISIC_0009874.png
235935,2501,337,23371,0.891716585905605,0.9427591770875353,18.027755737304688,11.33572006225586,ISIC_0010584.png
176262,171,5018,80693,0.9395798886844741,0.9688488668767822,14.866068840026855,10.057291030883789,ISIC_0010597.png
77753,4705,10935,168751,0.9151802419857802,0.955711866614563,62.2414665222168,46.529022216796875,ISIC_0010448.png
235577,397,2599,23571,0.8872285165807204,0.9402449240097331,23.25940704345703,15.81138801574707,ISIC_0011098.png
215425,0,11903,34816,0.7452214302532161,0.8540136137854909,43.8292121887207,34.456478118896484,ISIC_0011132.png
185246,3037,930,72931,0.9484121823714531,0.9735231497240188,10.816654205322266,7.071067810058594,ISIC_0000287.png
209760,17925,0,34459,0.6578153634697618,0.7935930357081169,44.283180236816406,36.87885665893555,ISIC_0010582.png
57900,8287,916,195041,0.9549411488219972,0.9769513004495536,40.607879638671875,22.803508758544922,ISIC_0000311.png
236707,320,1197,23920,0.940362464127059,0.9692647446157586,8.485280990600586,5.0,ISIC_0000253.png
230321,17,3439,28367,0.8913993023913521,0.942581824223293,15.0,11.0,ISIC_0000072.png
226802,50,2334,32958,0.9325448474902382,0.965095168374817,19.0,8.596494674682617,ISIC_0010018.png
138049,0,25007,99088,0.7984850316289939,0.8879529354834373,48.093658447265625,36.359317779541016,ISIC_0000226.png
82607,9447,897,169193,0.9423851350975008,0.9703380839044533,24.083189010620117,16.0,ISIC_0000302.png
246696,0,3240,12208,0.7902641118591404,0.8828463986115128,18.0,13.0,ISIC_0009078.png
184623,9,8641,68871,0.8884173320777595,0.940912071697907,25.0,14.764822959899902,ISIC_0010047.png
248084,1265,60,12735,0.9057610241820768,0.9505504758350438,9.219544410705566,6.0,ISIC_0000012.png
166508,273,5796,89567,0.9365406332343469,0.9672305524208571,22.0,14.142135620117188,ISIC_0000525.png
112794,8538,1574,139238,0.932293270840308,0.9649604280150249,69.00724792480469,24.153644561767578,ISIC_0009992.png
238900,57,2284,20903,0.8992858372053003,0.9469726142206718,12.083045959472656,8.602325439453125,ISIC_0000071.png
246262,2454,26,13402,0.8438483818158922,0.9153121158311706,34.01470184326172,12.759254455566406,ISIC_0010207.png
195921,323,13311,52589,0.7941198677196745,0.8852472814193852,45.80392837524414,38.99229431152344,ISIC_0010055.png
197143,21,5033,59947,0.9222473500407686,0.9595511732880878,16.401220321655273,9.0,ISIC_0009882.png
76213,374,48843,136714,0.7352942758335081,0.8474577321824296,108.90821838378906,77.06912231445312,ISIC_0010257.png
197038,20,11970,53116,0.8158387859797868,0.8985806364297677,32.202484130859375,24.59674835205078,ISIC_0009998.png
226625,106,3183,32230,0.9074016723443791,0.9514531579801916,14.21267032623291,8.9442720413208,ISIC_0008600.png
121322,8420,182,132220,0.9389157944071239,0.968495689307872,33.12099075317383,14.866068840026855,ISIC_0000540.png
249572,47,1948,10577,0.8413140311804009,0.9138191714544904,15.620499610900879,12.727922439575195,ISIC_0003559.png
44211,13403,1149,203381,0.9332271845016588,0.9654604404316021,101.0,64.33047485351562,ISIC_0011112.png
183339,4916,1077,72812,0.9239515259184062,0.960472770203869,19.235383987426758,11.045360565185547,ISIC_0009993.png
157610,118,37334,67082,0.641724223697553,0.781768599664367,127.41271209716797,115.0,ISIC_0000099.png
146674,5117,18862,91491,0.7923356716030138,0.8841375911403597,56.080299377441406,43.57808303833008,ISIC_0000328.png
243904,6351,32,11857,0.6500548245614035,0.7879190617005017,79.71198272705078,54.444793701171875,ISIC_0001960.png
197476,733,12716,51219,0.7920300612358508,0.8839472934841699,63.60031509399414,53.037723541259766,ISIC_0010347.png
227131,0,12325,22688,0.6479878902122069,0.7863988492400479,41.1096076965332,37.36308288574219,ISIC_0009982.png
166384,1366,5168,89226,0.9317669172932331,0.9646784080957478,20.02498435974121,12.727922439575195,ISIC_0000320.png
